Property Name,Line One,City,Zip
Aspenwood,2503 Howard Avenue,Everett,98203
Avondale,12709 Avondale Way,Everett,98204
Beachwood,1027 Beach Avenue,Marysville,98270
Commerce Building,1803 Hewitt Avenue,Everett,98201
Crossroads,3504 Norton Avenue,Everett,98201
Fairview Apartments,14624 179th Ave. SE,Monroe,98272
Housing Hope Village,"5826, 5830 Evergreen Way",Everett,98203
Hope Village II,"5908, 5902, 5912 Evergreen Way",Everett,98203
Lincoln Hill Village,27522 72nd Ave NW,Stanwood,98292
Maple Leaf Meadows,3010 - 3024 188th Street NE,Arlington,98223
Madrona Highlands,8215 236th St SW,Edmonds,98026
Monroe Family Village,17428 W. Main St,Monroe,98272
New Century Village,2507 Howard Avenue,Everett,98203
New Century House,2505 Howard Avenue,Everett,98203
Station Place,3315 Broadway Avenue,Everett,98201
Twin Lakes Landing,2820 164th St NE,Marysville,98270
Twin Lakes Landing II,2604 164th St NE,Marysville,98271
Winters Creek Village North,932-954 4th Street,Sultan,98294
Winters Creek Village South,517 4th Street,Sultan,98294
Woods Creek Village,320 E Fremont St.,Monroe,98272
